2025-06-02 15:11:13,581 - DEBUG - Updated node: 13.107.5.93 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 5.0, 'top_proto_1': 0.0, 'service_1': 2.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.866025, 'first_seen_hour_minute_cos': -0.5, 'last_seen_hour_minute_sin': -0.707107, 'last_seen_hour_minute_cos': -0.707107, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 0.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 0.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 0.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,581 - DEBUG - Updated node: 142.250.198.206 with attributes {'most_freq_proto': 1.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 1.0, 'service_1': 8.0, 'service_2': 2.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.878817, 'first_seen_hour_minute_cos': -0.477159, 'last_seen_hour_minute_sin': -0.725374, 'last_seen_hour_minute_cos': -0.688355, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 1.0, 'most_freq_ssl_version': 4.0, 'unique_ssl_ciphers_used': 1.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 1.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 54.192.18.103 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 2.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.872496, 'first_seen_hour_minute_cos': -0.488621, 'last_seen_hour_minute_sin': -0.725374, 'last_seen_hour_minute_cos': -0.688355, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 1.0, 'most_freq_ssl_version': 4.0, 'unique_ssl_ciphers_used': 1.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 1.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 142.250.197.4 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 8.0, 'service_2': 2.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.872496, 'first_seen_hour_minute_cos': -0.488621, 'last_seen_hour_minute_sin': -0.722364, 'last_seen_hour_minute_cos': -0.691513, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 1.0, 'most_freq_ssl_version': 4.0, 'unique_ssl_ciphers_used': 1.0, 'has_ssl_resumption': 1.0, 'has_ssl_server_name': 1.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 52.231.186.36 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 0.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.863836, 'first_seen_hour_minute_cos': -0.503774, 'last_seen_hour_minute_sin': -0.704015, 'last_seen_hour_minute_cos': -0.710185, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 0.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 0.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 0.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 44.215.115.167 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 2.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.878817, 'first_seen_hour_minute_cos': -0.477159, 'last_seen_hour_minute_sin': -0.731354, 'last_seen_hour_minute_cos': -0.681998, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 0.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 0.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 0.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 142.250.197.54 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 8.0, 'service_2': 2.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.868199, 'first_seen_hour_minute_cos': -0.496217, 'last_seen_hour_minute_sin': -0.71325, 'last_seen_hour_minute_cos': -0.700909, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 1.0, 'most_freq_ssl_version': 4.0, 'unique_ssl_ciphers_used': 1.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 1.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 185.125.190.49 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 1.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.868199, 'first_seen_hour_minute_cos': -0.496217, 'last_seen_hour_minute_sin': -0.710185, 'last_seen_hour_minute_cos': -0.704015, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 1.0, 'most_freq_http_version': 1.0, 'unique_http_status_codes_seen': 1.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 0.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 0.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 0.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 64.29.17.129 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 2.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.87462, 'first_seen_hour_minute_cos': -0.48481, 'last_seen_hour_minute_sin': -0.722364, 'last_seen_hour_minute_cos': -0.691513, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 1.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 1.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 1.0, 'has_ssl_history': 0.0}.
2025-06-02 15:11:13,582 - DEBUG - Updated node: 4.154.131.239 with attributes {'most_freq_proto': 0.0, 'most_freq_conn_state': 2.0, 'top_proto_1': 0.0, 'service_1': 0.0, 'service_2': 8.0, 'service_3': 8.0, 'top_user_agent_1': 8.0, 'first_seen_hour_minute_sin': -0.863836, 'first_seen_hour_minute_cos': -0.503774, 'last_seen_hour_minute_sin': -0.704015, 'last_seen_hour_minute_cos': -0.710185, 'outgoing_connection_ratio': 0.0, 'incoming_connection_ratio': 1.0, 'unique_remote_ports_connected_to': 0.0, 'unique_local_ports_used': 0.0, 'unique_remote_ports_connected_from': 0.0, 'unique_local_ports_listening_on': 0.0, 'ever_connected_to_privileged_port': 0.0, 'ever_listened_on_privileged_port': 0.0, 'unique_http_versions_used': 0.0, 'most_freq_http_version': 3.0, 'unique_http_status_codes_seen': 0.0, 'has_http_error_4xx': 0.0, 'has_http_error_5xx': 0.0, 'unique_ssl_versions_used': 0.0, 'most_freq_ssl_version': 5.0, 'unique_ssl_ciphers_used': 0.0, 'has_ssl_resumption': 0.0, 'has_ssl_server_name': 0.0, 'has_ssl_history': 0.0}.
